,fecha_dato,sexo,age,nomprov,renta,segmento,id de cliente,num. de cuenta (IBAN),nombre de cliente
17,2016-06-28,V,26,MADRID,sdv-pii-etiyk,03 - UNIVERSITARIO,17,ES5101259386198442851687,Octavia Agustí Gordillo
18,2016-06-28,V,14,PONTEVEDRA,sdv-pii-ks2ku,03 - UNIVERSITARIO,18,ES6402346478928312413945,Jenaro Álvarez Torrents
19,2016-06-28,H,100,MADRID,sdv-pii-4l0ob,01 - TOP,19,ES5700615604328524557087,Socorro Agustí Planas
20,2016-06-28,H,43,MADRID,sdv-pii-fjd5n,01 - TOP,20,ES0820005310008856072187,Martin Daza Pujadas
21,2016-06-28,H,43,ZARAGOZA,sdv-pii-a3jjg,03 - UNIVERSITARIO,21,ES9300617223276139377848,Itziar de Galán
22,2016-06-28,H,37,MADRID,sdv-pii-8a5jk,03 - UNIVERSITARIO,22,ES9400193156765315126973,Goyo Borja-Vargas
23,2016-06-28,H,28,MALAGA,sdv-pii-honv5,02 - PARTICULARES,23,ES6501888752126117759793,Jenaro Uribe Lopez
24,2016-06-28,V,39,MADRID,sdv-pii-vq64p,02 - PARTICULARES,24,ES2802357531440025027613,Jenny del Almeida
25,2016-06-28,H,28,ZAMORA,sdv-pii-vsltg,03 - UNIVERSITARIO,25,ES0321036865592612935173,Herminia Aguiló
26,2016-06-28,V,26,MALAGA,sdv-pii-3v45e,03 - UNIVERSITARIO,26,ES5302415268555172324316,Leocadio del Avilés
27,2016-06-28,H,70,CADIZ,sdv-pii-k7fq8,02 - PARTICULARES,27,ES4101983970953508565822,Albano Contreras Puente
28,2016-06-28,V,26,MADRID,sdv-pii-f0tp9,03 - UNIVERSITARIO,28,ES6715448153448246761044,Seve Collado Tamayo
29,2016-06-28,H,35,TOLEDO,sdv-pii-mo9it,02 - PARTICULARES,29,ES0620008563315196355104,Lázaro de Barriga
30,2016-06-28,V,46,MADRID,sdv-pii-l8958,03 - UNIVERSITARIO,30,ES3602161523508920666902,Maribel Espada Jaume
31,2016-06-28,V,16,MADRID,sdv-pii-k2trz,03 - UNIVERSITARIO,31,ES8720952617198868023476,Eloísa Palacio
32,2016-06-28,V,103,BARCELONA,sdv-pii-x1lgk,02 - PARTICULARES,32,ES6301883194760848141575,Fito Giralt-Montero
33,2016-06-28,H,43,ALICANTE,sdv-pii-pyg1m,02 - PARTICULARES,33,ES5502390166522276124634,Esther Cazorla-Girona
34,2016-06-28,H,44,ZARAGOZA,sdv-pii-3xrop,02 - PARTICULARES,34,ES0314906388310450229753,Leopoldo Benavides Téllez
35,2016-06-28,V,37,MADRID,sdv-pii-af26h,02 - PARTICULARES,35,ES7401382352723998593028,Iván Ramirez Arnau
36,2016-06-28,V,57,MURCIA,sdv-pii-86hwd,03 - UNIVERSITARIO,36,ES8515440787189471176398,Bienvenida de Ballester
37,2016-06-28,V,44,BARCELONA,sdv-pii-n3o7r,02 - PARTICULARES,37,ES4901252942301144921417,Edelmira Úrsula Campoy Bosch
38,2016-06-28,V,45,SEVILLA,sdv-pii-913de,02 - PARTICULARES,38,ES3500810204091843979627,Ligia Suarez
39,2016-06-28,V,52,VALLADOLID,sdv-pii-bylgo,02 - PARTICULARES,39,ES7802415063512954709254,Américo Goicoechea Lasa
40,2016-06-28,V,25,GIPUZKOA,sdv-pii-4qzxr,03 - UNIVERSITARIO,40,ES3301287037810869931021,David Moya Bravo
41,2016-06-28,H,83,MADRID,sdv-pii-i945s,01 - TOP,41,ES9102399163863470284506,Marisela Varela
42,2016-06-28,V,41,MADRID,sdv-pii-hy6k0,03 - UNIVERSITARIO,42,ES5220480234182572303601,Francisco del Niño
43,2016-06-28,V,18,SEVILLA,sdv-pii-k38lj,03 - UNIVERSITARIO,43,ES1415440904713517734380,Heliodoro Isern Vara
44,2016-06-28,V,34,ALICANTE,sdv-pii-xbto7,03 - UNIVERSITARIO,44,ES5502379003980433349178,Eli Tomas Ramis
45,2016-06-28,H,16,CASTELLON,sdv-pii-ev3t1,03 - UNIVERSITARIO,45,ES7220004067620657114549,Martirio Cánovas-Hernando
46,2016-06-28,V,44,SEVILLA,sdv-pii-bpr5f,02 - PARTICULARES,46,ES2401884618729053139962,Aitor Campos Cuevas
47,2016-06-28,V,14,GRANADA,sdv-pii-hp0aq,03 - UNIVERSITARIO,47,ES3931839429502698509340,Sabina Pedraza Peña
48,2016-06-28,V,47,GRANADA,sdv-pii-jx9xp,02 - PARTICULARES,48,ES3001828492205977987188,Gustavo Agustí Doménech
49,2016-06-28,H,41,MADRID,sdv-pii-ghale,02 - PARTICULARES,49,ES8000830329352464038916,Eva María Rodrigo López
50,2016-06-28,V,36,MALAGA,sdv-pii-sk2fu,02 - PARTICULARES,50,ES9001885231774967817370,Nacio Canet-Carretero
51,2016-06-28,H,39,MADRID,sdv-pii-2ezet,02 - PARTICULARES,51,ES8415449774750277564599,Juan José Rocha Cadenas
52,2016-06-28,V,24,MADRID,sdv-pii-4zcbs,03 - UNIVERSITARIO,52,ES7802412414290558356902,Nydia Piña Miranda
53,2016-06-28,H,37,SANTA CRUZ DE TENERIFE,sdv-pii-l6r5g,02 - PARTICULARES,53,ES8100815574112535620998,Araceli García Llano
54,2016-06-28,H,31,MADRID,sdv-pii-3s835,01 - TOP,54,ES4800196699378807898894,África Mate-Solana
55,2016-06-28,H,36,MADRID,sdv-pii-91py5,02 - PARTICULARES,55,ES2802394576473368366007,Eusebia Romeu-Aranda
56,2016-06-28,V,35,VALLADOLID,sdv-pii-yaxhs,03 - UNIVERSITARIO,56,ES4401888685167454181989,Juan Pablo Milla Mas
57,2016-06-28,H,48,BARCELONA,sdv-pii-6p2y3,02 - PARTICULARES,57,ES8400818942019058310863,Lara Pacheco
58,2016-06-28,V,27,MALAGA,sdv-pii-ud4ss,03 - UNIVERSITARIO,58,ES6920004992831204992582,Obdulia Rivera Barral
59,2016-06-28,H,65,BARCELONA,sdv-pii-nfur1,02 - PARTICULARES,59,ES3202373023207884622539,Francisco Javier Pombo Campos
60,2016-06-28,H,57,BARCELONA,sdv-pii-oa3vt,02 - PARTICULARES,60,ES1202257202006958593838,Chema Quevedo Cases
61,2016-06-28,V,41,LERIDA,sdv-pii-4r8d8,02 - PARTICULARES,61,ES1401254496382869810863,Nazaret Iriarte Franco
62,2016-06-28,H,15,MADRID,sdv-pii-mrwlm,03 - UNIVERSITARIO,62,ES3002163506819280150385,Isidro Murillo Catalá
63,2016-06-28,H,54,VALENCIA,sdv-pii-j4qyn,02 - PARTICULARES,63,ES8321035380715868348153,Paulino Catalán Vargas
64,2016-06-28,V,46,MADRID,sdv-pii-m6k1w,02 - PARTICULARES,64,ES6000613075383088924342,Visitación Jove
65,2016-06-28,V,71,MADRID,sdv-pii-izlif,02 - PARTICULARES,65,ES9800118864244768543552,Jose Ignacio Arana Fuente
66,2016-06-28,H,37,BIZKAIA,sdv-pii-0b0pl,03 - UNIVERSITARIO,66,ES0301253685733121617470,Renata Magdalena Folch Maza
67,2016-06-28,V,71,VALLADOLID,sdv-pii-2wlji,02 - PARTICULARES,67,ES7302357614769801749249,Juan Manuel Vilaplana-Velázquez
68,2016-06-28,H,19,SANTA CRUZ DE TENERIFE,sdv-pii-mldbv,03 - UNIVERSITARIO,68,ES5700619866043652195312,Juanita Buendía Goñi
69,2016-06-28,V,20,BARCELONA,sdv-pii-raqg1,03 - UNIVERSITARIO,69,ES7101386358156808427084,Salomón Bernad
70,2016-06-28,V,25,MURCIA,sdv-pii-uoc87,02 - PARTICULARES,70,ES6200198244344948136540,Fortunato Linares Figueras
71,2016-06-28,H,43,MADRID,sdv-pii-gopy9,02 - PARTICULARES,71,ES8121037709815182980375,Pili Vigil Barbero
72,2016-06-28,V,47,GRANADA,sdv-pii-tyu7u,03 - UNIVERSITARIO,72,ES8902167810603504022428,Angelina Gil-Nuñez
73,2016-06-28,V,32,ALBACETE,sdv-pii-ll57w,03 - UNIVERSITARIO,73,ES0802348845162293989647,Baltasar Blanco Sandoval
74,2016-06-28,V,60,MADRID,sdv-pii-qrut7,02 - PARTICULARES,74,ES3902358875498347825750,América Raya Peñas
75,2016-06-28,H,60,"CORUÑA, A",sdv-pii-509u9,02 - PARTICULARES,75,ES4014905360075428681727,Ángeles Iglesias Cortes
76,2016-06-28,V,88,MADRID,sdv-pii-z70z1,02 - PARTICULARES,76,ES9600494847865339099141,Esmeralda Goicoechea Amador
77,2016-06-28,H,35,MURCIA,sdv-pii-9jlqf,02 - PARTICULARES,77,ES8000119924936993824732,Ángeles Méndez-Jara
78,2016-06-28,V,21,"RIOJA, LA",sdv-pii-vorp7,03 - UNIVERSITARIO,78,ES1601865315257190289904,Fidel Ribes-Roma
79,2016-06-28,H,19,MADRID,sdv-pii-esop9,03 - UNIVERSITARIO,79,ES2900814020712445331494,Nacho Baquero Mayo
80,2016-06-28,V,54,MADRID,sdv-pii-sroxg,02 - PARTICULARES,80,ES4821002335576339437293,Cayetana Melania Llanos Escrivá
81,2016-06-28,H,38,CACERES,sdv-pii-7gjsg,03 - UNIVERSITARIO,81,ES0302413143022682583646,Genoveva de Rozas
82,2016-06-28,H,50,MADRID,sdv-pii-y6ba1,02 - PARTICULARES,82,ES2902416919049391197811,Jose Miguel Lumbreras Calatayud
83,2016-06-28,H,17,GIPUZKOA,sdv-pii-wb6q5,03 - UNIVERSITARIO,83,ES7914908565604760224650,Angelina Arjona Mata
84,2016-06-28,V,72,MADRID,sdv-pii-ctyc7,02 - PARTICULARES,84,ES2502396433145395399064,Prudencio Barros Heredia
85,2016-06-28,V,42,"CORUÑA, A",sdv-pii-38tb8,02 - PARTICULARES,85,ES8400784611778048117458,Concha Mena Ramis
86,2016-06-28,H,47,CORDOBA,sdv-pii-lorxy,02 - PARTICULARES,86,ES8600116563314758361828,Álvaro del Valentín
87,2016-06-28,H,28,BADAJOZ,sdv-pii-cqh3t,03 - UNIVERSITARIO,87,ES3320851526384381177817,Heraclio Agustí Diez
88,2016-06-28,H,47,MADRID,sdv-pii-tpz8r,02 - PARTICULARES,88,ES1201982588631850121215,Roberta Vallés Alsina
89,2016-06-28,H,22,VALENCIA,sdv-pii-o1obf,03 - UNIVERSITARIO,89,ES6601253988184968194918,Eloísa Busquets Sans
90,2016-06-28,H,41,LEON,sdv-pii-uv2xh,02 - PARTICULARES,90,ES9821033930914164108451,Ileana Vergara Fernandez
91,2016-06-28,V,39,MADRID,sdv-pii-4uk01,02 - PARTICULARES,91,ES9600617306598453555784,Emilio Cortes Arregui
92,2016-06-28,V,49,BARCELONA,sdv-pii-r07aj,03 - UNIVERSITARIO,92,ES5101386160586819205050,Remigio Pujol Girona
93,2016-06-28,H,41,MADRID,sdv-pii-nqfcf,01 - TOP,93,ES3821030910992302374336,Leocadio Mora Ibañez
94,2016-06-28,V,27,JAEN,sdv-pii-928qx,02 - PARTICULARES,94,ES4702259856070590010331,Angelina Téllez Alfonso
95,2016-06-28,H,48,MADRID,sdv-pii-cv7pa,02 - PARTICULARES,95,ES3920006402858320805858,Rosario Cáceres Rius
96,2016-06-28,H,20,BADAJOZ,sdv-pii-tkyun,03 - UNIVERSITARIO,96,ES4302357018358494712418,Jenaro Acevedo Prado
97,2016-06-28,V,47,MADRID,sdv-pii-6lgs1,03 - UNIVERSITARIO,97,ES9001385262666309280474,Luisa Cerezo Barragán
98,2016-06-28,H,32,BARCELONA,sdv-pii-uz5h5,03 - UNIVERSITARIO,98,ES7301989366861683746257,Che Quintanilla Bermudez
99,2016-06-28,H,29,SEVILLA,sdv-pii-pjy66,03 - UNIVERSITARIO,99,ES1000198903590428850991,Merche Barrena Moliner
